Buddhist monk's robe	jia-; sha-
be worthy of	bu\kui\
benefit	bi\yi\; bu\/yi\; ha\/ochu; li\yi\; xia\oyi\; yi\; to benefit: bi\
blade edge	e\
border district	bia-ndi\
break up	po\/u; fe\/nsui\; qu-sa\n; to break up: fe-nge-; to break up: <a marriage, family, etc. cha-isa\n
building	jia\nzhu\wu\; jia\nzhu\; fa/ngwu-
calamity	we-ina\n; ya-ng; za-i; ha\i
caramel	jia-ota/ng
cauterize	jiu\/
charm	me\ili\; me\i; to charm: me\i
circle	hua/n; qua-n; xu/nhua/n; yua/n; yua/n; to circle: we/i; hui/
close the eyes	mi/ng
come closer	la/ili/n
compel	qia\/ngpo\; bi-; bi-; bi-po\; xie/po\; to compel: po\
confine	jua-n
continue	chi/xu\; jie-zhe; xu\; ya/nxu\; to continue: ji\; ji\xu\; che/ng; <as a song ge-ng
corruption	<political, moral ta-nwu-; fu\/ba\i
creeper	ma\n
current year	be\/nnia/ndu\
daughter	nue/r; nuhai/r
defect	que-xia\n; guo\shi-; ma/obi\ng; ci-; bi\ng
deserve	yi-ngde/; to deserve: zhi/de; ga-i
diffuse	bu\
disguise oneself	ba\n
do one's best	<effort ji\nli\
dregs	za-o; zha-; zi\/
earlier	<a bit earlier za\/oxie-; yi/xia\ng; qia/n
eighty percent	ba-che/ng
emulation server	fa\/ngzhe-nfu/wu\qi\
epidemic disease	liu/xi/ngbi\ng
evil wind	ya-ofe-ng
explorer	ta\nxia\/nzhe\/
fall into	<a trap, etc. xia\nyu/
feel happy	ka-ixi-n
filings	xie\
fish up	la-o
fluttering of flags	ni\/
foreign language	wa\iyu\/
free	ma\n; to free: fa\ng; <of charge mia\/nfe\i
future prospects	qia/nche/ng
germinate	fa-ya/
glamorous	ya\n
good and honest	sha\nlia/ng
great waves	bo-la/n; bo-ta-o
habit	pi\/; xi/gua\n
harvest	sho-ucheng; huo\
heat preservation	ba\/owe-n
high performance	ga-oxi\ngne/ng; ge-ngga-oxi\ngne/ng
honan	yu\
humid	cha/o
illustrious	jie/chu-; zha-o
in confusion	lua\n; bi-n
incisive	bia-npi\ru\li\/
inflate	pe/ngzha\ng
insult	wu\/; wu\/ru\; ru\/; to insult: du/
invention	fa-mi/ng
jasmine	li\; mo\
keep watch	<during a clandestine activity ba\/fe-ng
lame person	bo\/zi
lavender	xu-nyi-ca\/o
length	cha/ng; cha/ngdu\; cha/ngdua\/n; ma\o; <of a piece of writing pia-nfu
lily	ba\/ihe/; ba\/ihe/hua-
lofty and unyielding character	a\ogu\/
love me	a\iwu-ji/wu-
main headings	ga-ng
make strong	<as liquors tia\/n
marriage connections	yi-n
medium	jie\zhi\; me/i; me/ijie\; me/izhi\; zho-ngde\/ng
migratory bird	hu/
mixed feelings of grief and joy	be-ixi\jia-oji/
most important	mo\da\
murder case	mo/usha-a\n; sha-re/na\n
navy and air force	ha\/iko-ngju-n
next month	xia\ge\yue\
nose	bi/; bi/zi
not the right flavour	bu\shi\we\ier
oats	ma\i
old burial grounds	xu-
opal	shi/ba/ishi/
ornamentation	zhua-ngshi\wu\
oversize	ta\icha/ng
parents	fu\mu\/
pay retroactively	bu\/fa-
period of time	qi-; qi-jia-n
piece of jade with hole in center	bi\
play the role of	cho-ngda-ng
pomelo	yo\u
precious mineral deposits	ba\/oza\ng
prime minister	zo\/ngli\/; <in feudal China za\/ixia\ng
propose	jia\nyi\
punishment	qia\/n; xi/ng; che/ngfa/
quiet and elegant	tia\/o
rattle stick dance	ba\wa/ngbia-n
recover	cho/nghuo\; cho-u; fu\; to recover: hui-; <from an illness bi\ngyu\; <from illness qua/n; <lost territory, etc. sho-ufu\
relatives by marriage	qi\ngjia
republic	go\nghe/; go\nghe/guo/
reverence	zu-nji\ng
robber	qia/ngda\o; da\o
run for shelter	pa\/oji\/ngba\o
satisfy	cho-ng; to satisfy: ma\/nzu/
screw	luo/; luo/si-di-ng
select	lu/n; qua/n; tia-oxua\/n; zhuo/; ba/; to select: shua\; xua\/nze/; ze/; zhi/; jua-n; li/nxua\/n; xua\/n; ca\/i
session	hui\qi-
shell mound	be\iqiu-
shudder	fa-do\/u; bu\ha/ne/rli\
sit	zuo\; zuo\
small business	xia\/oxi/ngqi\/ye\
software pirate	da\oba\/nzhe\/
space satellite	we\ixi-ng
spleen	pi/
stand for food at sacrifice	zu\/
step	bu\; bu\zho\u; bu\zi; ga-i; jia\/obu\; nie\; bu\dia\o; <to be taken cuo\shi-
strategic partner	zha\nlue\huo\/ba\n
subscribe to	<a newspaper, etc. di\ng
supplementary	bu\/cho-ng
sword	<double-edged jia\n; jia/
take somebody for	zuo\
technological development	ji\shu\fa-zha\/n
that kind	na\ya\ng
thorn	ci\
tit for tat	zhe-nfe-ngxia-ngdui\
township	zhe\nqu-
tree leaves	shu\ye\
turn off	gua-n
under this circumstances	qi/ngkua/ngxia\
unprecedent	ko-ngqia/n
usher	zha-oda\iyua/n
very indifferent	bu\ze\/nmeya\ng
voice signal	yu\/yi-nxi\nha\o
water bucket for irrigation	hu\
wheat	ke-; ma\izi; xia\/oma\i; ma\i
wiggling	ru/ru/
won't work	xi/ngbuto-ng; chi-buka-i
writing symbol	shu-xie\/fu/ha\o
Alpha and Omega	ya\/e\/rfa-he/a\omi\/jia-
China-Russia	zho-nge/
Harvard University	ha-fo/da\xue/
Ministry of National Defense	guo/fa/ngbu\
Swedish language	rui\dia\/nyu\/
abrupt	cu\
actuality	xia\nshi/
agency	ba\nshi\chu\; ji-go\u
almost	ji-; ji-hu-; jia-ngji\n; da\i; chui/
animal which eats its mother	ji\ng
appraise at the current rate	bia\njia\
as a result of	yo/uyu/; yo/uyu/
at some time in the past	ce/ng
azoic dyes	bi-ngra\/nra\/nlia\o
barrier	la/nsha-n; zha\nga\i; bi\le\/i
be destined	<to failure, etc. zhu\di\ng
be on very intimate terms	bu\fe-nbi\/ci\/
beat with the fist	chui/
better	ge\ngha\/o; jia\oha\/o
blessings from heaven	jia\ngfu/
both coasts	lia\/nga\n
bridal trousseau	lia/n
bundle	ba-oguo\/; ku\/n; ba-o
call together	zha\o
cargo ship	huo\lu/n
cell	mi\shi\; xi\ba-o
cheekbone	kui/
civil	guo/ne\i
club	gu\nba\ng; ba\ngzi\/; <ie, a group or organization ju\le\bu\; <weapon ti\/ng
comforter	ba\/ohui\shi-; mia/nbe\i
completely compatible	wa/nqua/njia-nro\ng
conical cap	ze/
control	ba\/chi/; qua\/nzhi\; zha\/nggua\/n; a\nna\; si-; to control: jia\yu\; jia-ndu-; ca-ozo\ng; gua\/n; a\n; ko\ng
counter-revolutionary	fa\/nge/mi\ng
critical point	<reach a da\gua-n
cut off	ge-; la/n; to cut off: zu\/ge/; ge/; <a length jie/; <a supply, etc. qie-dua\n
dazzle	hua\/ng; xua\n; ya\o; ya\oya\/n
degrade	jia\ngji/; jua-n
dessert	tia/ndia\/n
dimension	da\xia\/o; chi\/cun; <unit lia\ngga-ng
dispel	pi\; pi\; <doubts, misgivings, etc. da\/xia-o
dollar	yua/n
drive piles	ha-ng
earthworm	qiu-; qiu-yi\/n; yi\/n
electrical leakage	pa\/odia\n
end in failure	chui-
erbium	e\/r
excavation	wa/jue/
extension	she-nzha\/n
fan into a flame	sha-n
fellowship	yo\/uyi\
finance and economics	ca/iji-ng
fixed rent for farmland	ba-ozu-
folk remedy	da-nfa-ng
forgiveness	ra/oshu\
fresh and cool	qi-ngshua\/ng
gang	yi-qu/n; ba-ng
get mad	na\/o
global positioning system	hua/nqiu/di\ngwe\ixi\to\/ng
gorgeous	hua/li\
grieve over sb's death	a-ida\o
half price	ba\njia\
have a holidy or vacation	fa\ngjia\
hegemon	ba\zhu\/; ba\
hike	yua\/nzu/
hop	tia\o
hurl	ya/ng
immigration	qia-nju-yi/mi/n
in many aspects	za\ihe\/nduo-fa-ngmia\n; duo-fa-ngmia\n
incorrect	bu\dui\
ingenuity	chua\ngza\oli\
intense	ji-lie\; qia/nglie\
involuntary muscle	bu\sui/ji\ji-
join together	pi-n
kilobit	qia-nwe\iyua/n
language	we/n; hua\; yu\/
lazy	duo\; la\/n; da\i; la\/nduo\
let out	lo\u; fa\ng
linguistics	yu\/ya/nxue/
long life	sho\u
lower part of cheeks	sa-i
make	zhi\zuo\; da\/; to make: shi\/; za\o; ga\/o; zhi\; zhi\za\o; zuo\; <money zhe\ng
male friend	na/npe/ngyou
massage	a\nmo/
member of the same clan	be\/njia-
military region	ju-nqu-
modern world	mu\qia/nshi\jie\
mounds for beacons	ho\u
mutation	bia\nzho\/ng
neglect	hu-shi\; shu-hu-; to neglect: wa\ng
ninetieth	di\jiu\/shi/
not be fond of certain food	chi-bula/i
not work	bu\li/ng
obstacle	zu\/li\; ba\njia\/oshi/
omen	yu\zha\o; zha\o; zhe-ngzha\o; che\n
operation	xi/ngdo\ng; sho\/ushu\
ourselves	wo\/me/nzi\ji\/
pace back and forth	cho/u
particular thanks	te\bie/ga\/nxie\
peasant	no/ngfu-; no/ngmi/n
person in charge	<of something fu\ze/re/n
pine	so-ngshu\; so-ng
plenary session	<at a conference qua/nhui\
pork shoulder	ti/; zho\/u
prejudice	pia-njia\n
privately	be\idi\fe-ng
protector	ba\/ohu\zhe-
pursue	<a goal, etc zhui-qiu/; <a problem zhui-; zhu/; <a course, a policy fe\ngxi/ng
radiant	hui-
read aloud	nia\n; nia\n; so\ng
reduce spending	ji-ngjia\/nka-izhi-
remain	liu/xia\; to remain: re/ng; liu/; <the same re/ngjiu\
resent	fe\nka\i
rhinoceros	xi-
roly-poly	ba-nbu\da\/oer; bu\da\/owe-ng; a\/ipa\ng
rush at	pu-
scabbard	qia\o
seacoast	ha\/ia\n
semi-	ba\n
seven layer architecture	<OSI qi-ce/ngjia\go\u
shirk	we\/i
side of body	xie/
sketch	su\mia/o; ca\/oga\/o; to sketch: go-uhua\
small table	ji-
somber	yi-na\n
speak frankly and bluntly	zhi/ya/nbu\hui\
sports competition	yu\ndo\nghui\
starch	dia\nfe\/n; to starch: jia-ng
steroid	le\igu\chu/n
strict	ya/nge/; ya/nmi\; ya/nli\; ji\/n
successfully accomplished	<project or goal da\go-ngga\oche/ng
surely	yi-di\ng; ba\/ogua\/n
systematic	yo\/uxi\to\/ng
talk things over	xie/sha-ng
television	dia\nshi\; <set dia\nshi\ji-
theological	she/nxue/
three times	sa-nci\
together with	lia/nto/ng; he/; bi\ng; yu\/
traffic light	<red and green ho/nglude-ng
trifles	cuo\/
twenty-seven	e\rshi/qi-
undisguished	go-ngra/n
unstable	bu\a-n; e-
vain	xu-
vice admiral	zho-ngjia\ng
wade	za\ishui\/bu\xi/ng; she\
waxing and waning	yi/ngkui-
whichever	re\nhe/
wind round	lia/o; to wind round: mo/u
woolen material	ni/
year	nia/n; nia/nto/u; sui\; za\/i; <eg, school year, fiscal year, etc nia/ndu\
Asian nation	ya-ta\iguo/jia-; ya\zho-uguo/jia-
Chinese people	zho-ngguo/re/n; zho-ngguo/re/nmi/n
IBM	guo/ji\sha-ngye\ji-qi\
Nobel prize	ro/nghuo\nuo\be\ie\/rjia\/ng
Turtur orientalis	jiu-
accede	yu/
address term between sons-in-law	ya\
ailment	bi\ng
alternately	die/
annual income	sui\ru\
archbishop	da\zhu\/jia\o
as well as	e/rqie\/
atonement	shu/zui\
bad	bu\lia/ng; bu\sha\n; da\/i; hua\i; hua\i; yu\/
bass	di-yi-n; <sound che-ng
be fearful	ji-ng
be relieved	a-nxi-n
become revisionist	bia\nxiu-
big boss	lo/ngto/ula\/oda\
blossom everywhere	bia\ndi\ka-ihua-
boundless	ya-ng
bring along	xie/
business activity	sha-ngye\xi/ngwe/i
can still be considered	<to be bu\shi-we/i
carry out a transaction	ji\nxi/ngjia-oyi\
ceremony	yi/shi\; dia\/nli\/
chew	ju\/; ju\/jue/; to chew: jia/o; jue/
clasp under the arm	xie/
cock fighting	do\uji-
commerce center	sha-ngye\zho-ngxi-n
compute	ji\
consider	kui/; zhuo/; cu\/n; to consider: ka\/olu; she-nsi-; si-; re\nwe/i; che-ng; <that yi\/we/i
conviction	hui\/zui\
cousin	bia\/oqi-n
crown	wa/nggua-n; gua-n; gua-nzi
cymbals	bo/
decade of a century	<eg, the Sixties nia/nda\i
delivery service	chua/nso\ngfu/wu\
deuterium	da-o
dipper	pia/o
dissipated	da\ng
doodle	tu/mo\/
dry in the air	lia\ng
echo sb	ba\ncha\ng
eleven years	shi/yi-nia/n
engage in	co/ngshi\; wa/nno\ng; <a business activity, etc. ji-ngyi/ng
establishment	gua\/n; bia-nzhi\
excitedly	bo/ra/n
extremely	bu\yi\le\hu-; ji/; ji/le; ji/qi/; he\/n; zhi\; bu\de/lia\/o
fascinate	mi/zhu\
fetch	da\/; to fetch: qu\/
find that	jue/
flatter	cha\/n; e-; me\i; wu\/; yu/
foodstuffs	lia/ngshi
forthwith	li\ke\; sui\
from the beginning of up to	yi\zhi/
gastritis	we\iya/n
gigabit	shi/yi\we\iyua/n
go around	ra\o; jia\o; to go around: xu/nhui/
graduate	<of a school bi\ye\she-ng; to graduate: bi\ye\
ground rice	xi-
handbag	sho\/uti/ba-o
have little talent and less learning	ca/ishu-xue/qia\/n
hem	yi-fu/fe\ngbia-n
hit	po\/u; to hit: da\/ji-; ji-; zhua\ng; <the mark zho\ng
horsebit	bia-o
hygene	we\ishe-ng
imperial concubine	fe-i
in riotous profusion	bi-nfe-n
indeterminate	bu\di\ng
injury	sha-ng; chua-ng
interior	ne\ibu\; li\/mia\n; ne\idi\; ne\ilu\
irresistible	bu\ne/ngdi\/ka\ng
judgement seat	she\/npa\nxi/
kitten	xia\/oma-o
large problem	da\we\nti/
leak out	xie\; to leak out: to\ulu\; <information xie\lu\
liberal-minded	huo\
lit.: draw legs on a snake	hua\she/tia-nzu/
look askance	bi\; ni\
lunatic	sa-ngxi-nbi\ngkua/ng
make a noise	cha\/o
management function	gua\/nli\/go-ngne/ng
matter	<physical wu\zhi\; shi\
mental state	xu\
mind	xi-n; hua/i
monarch	bi\; ju-n; ju-nzhu\/
move back	tui\
nail	di-ng
nervous	hua-ng; ta\/n; te\
no purpose	ba/iba/i
not exert oneself	bu\li\
notorious	e\mi/ngzha-ozha-ng
occur repeatedly	ce/ngjia\ndie/chu-
on the way	ba\nlu\
optical power	gua-nggo-nglu
outfit with	pe\ibe\i
painter	hua\jia-
passionate	re\qi/ng
pen container	bi\/to\/ng
persuade	qua\nshuo-; to persuade: shuo-fu/; <politically shui\
pity	lia/nmi\/n; mi\/n; a-ilia/n; yi/ha\n; a-i; to pity: lia/n; mi\/n; a-i
plus	jia-
possible	ke\/ne/ng
present crisis	zhe\ci\we-iji-
prodigal son	la\ngzi\/
provided	ta\/ngruo\
put in a certain place	a-nfa\ng
raging	xio/ngxio/ng
really and truly	di/
refraction	zhe/she\
remove	ba-n; che\; che\chu/; chu/; jie\/chu/; ba/chu/; ge/; to remove: che\
respect	fa-ngmia\n; zu-nji\ng; yi\; chu\; to respect: ji\ng; pe\i; xia\oji\ng; da\i; <an agreement zu-nsho\/u
ride on horseback	qi/ma\/
rotate	lu/n; to rotate: hua/nra\o
sacrificial vessel	do\u
scarlet fever	ho/usha-
second month	e\ryue\
senator	ca-nyi\yua/n
sewer	she\ngo-u; xia\shui\/da\o
shopping center	go\uwu\zho-ngxi-n
signal station	xi\nha\ota/i
slacken	chi/
smooth	cha\ng; pi/ngwe\/n; ru\n; ru\nhua/; to smooth: mi\/n
sonnet	shi/si\ha/ngshi-
specialized hospital	bi\ngyua\n
spur	da\ido\ng
state clearly	bia\/omi/ng
stipulate	gui-di\ng
strive as much as possible	ji\nli\
suffer a setback	za-ige-ntou
surroundings	zho-uwe/i; hua/nji\ng
take	lia/o; to take: qu\/; ca\/iqu\/; go-ngke\; tu-n; <a bus, aeroplane etc. zuo\; <a picture pa-i; <medicine fu/; <time li\shi/
target address	mu\bia-odi\zhi\/
ten commandments	shi/jie\
therein	za\iqi/zho-ng
thug	ba\otu/
too bad	za-oga-o
transfer protocol	chua/nshu-xie/di\ng
tropical disease	shu\/we-n
type of fish	cha-ng
unfavourable	bu\li\
unyieldingly	a\ora/n
variant	bia\nzho\/ng
vigor	ji-ngshe/n
walk fast	ti\/ng; qu-
weasel	hua/ngshu\/la/ng
white arsenic	ba/ipi-
winter daphne	rui\xia-ng
world famous	shi\jie\zhi-mi/ng
yonder	na\bian
Berlin	bo/li/n
Cyrillic letters	xi-li\/e\/rzi\mu\/
Italy	yi\da\li\
Pentagon official	wu\/jia\/oda\lo/ugua-nyua/n
West	xi-fa-ng
accomplished	ya\n
adopt a measure	ca\/iqu\/cuo\shi-
airy	to-ngfe-ng
amine	a\n
antibiotic medicine	xia-oya/nya\o
arid	ga-nza\o
aspirin	a-si-pi\/li/n
attitude	jia\shi; ta\i; zi-ta\i
ballad	dua\/nge-; mi/nya/o
bawl	ha/o; ha/o
be in	chu\/
be sufficient	zu/
beforehand	yu\; yu\xia-n; yu\; shi\xia-n
biological warfare	xi\ju\nzha\n; she-ngwu\zha\n
bodyguard	we\ibi-ng; ba\/obia-o
braid	bia\n; fa\/bia\n; ta-o; bia\nzi; bia-nzhi\; bia-nzhi-
broadly	<speaking lo\/ngto\/ng
buy	gu-; ma\/i; cia\/ma\/i; to buy: go\u
cannot achieve	da/bu\da\o
cassock	na\
chamois	ro/u
chip	sui\pia\n; xi\npia\n
clear and loud voice	cui\
cold platter	pi-npa/n
common snipe	yu\
conceited	kua/ng; zi\fu\; jia-oa\o
constantly	du/; bu/zhu\; yi/xia\ng
cooperate	he/li\; xie/; to cooperate: he/zuo\
crack	fe\ng; lie\; lie\fe\ng; xi\; xia\; ba\olie\; be-nglie\; to crack: ba\o; che\; <troops ji-ngga\n
crystal	yi-ng; ji-ng; shui\/ji-ng; bia\/ome/ngzi
dame	gui\fu\re/n
declaration form	ba\oda-n
density	mi\du\
devoted	zho-ngche/ng
disapper	jue/
distributed control	fe-nbu\ko\ngzhi\
dove	ge-
duplicate	fu\be\/n; to duplicate: fu\zhi\; cho/ngfu\; <copy cha-ojia\n
edit	bia-nji/; bia-n
embed	xia-ng; xia-ngqia\n
enough	go\u; zu/go\u
evaluation committee	jia\ndi\ngwe\/iyua/nhui\
exhibition	zha\/nla\/nhui\; zha\/nla\/n; bia\/oya\/n
face to face	di/; mia\ndui\mia\n
fault resolution	gu\zha\ngpa/ichu/
field mint	bo\he/
fire control	xia-ofa/ng
floating point operation	fu/dia\/nyu\nsua\n
for instance	bi\/ru/; li\ru/
four	si\; <fraudproof si\
fuel	ra/nlia\o; ra/o; xi-n
gear-shaping	ba\ochi\/
give alms	che\n
go on with	ji\xu\; ji\
grant	sho\uyu\/; ci\; fa-fa\ng; to grant: fe-ng; zhu\/n; zhu\/nxu\/; <a title ga\o
grumble	da-o; ji-; lu-; su\ku\/; ba\oyua\n
happen to hold the same view	bu\mo/ue/rhe/
haven't	me/iyo\/u
hernia	sha\n
hold between	jia-; jia/; jia-
house centipede	yo/u
ice-cream brick	bi-ngzhua-n
impose by force	qia/ngjia-
in the process of	<doing something or happening zhe\ngza\i
indoor	shi\ne\i
inquiry	cha/dia\o
interpretation of the cause	bi\ngji-
it appears	ka\nlai
just	ca/i; fu\/; ga-ngha\/o; go-ng; go-ngzhe\ng; yu\/n; gua-ngshi\; qia\; zhi\/; fa-ng; ga-ng; ca/i; <in time zhe\ngha\/o; <right zhe\ng
know one's place	a-nfe\nsho\/uji\/
lash	bia-nta\; jie/ma/o; pi/bia-n; bia-nchi-; bia-nda\/
leave behind	la\; to leave behind: yi/
lieutenant	lu\ju-nzho-ngwe\i
live alone	qu\
lookout	tia\owa\ng; a-i
machinery	ji-xie\zhua-ngzhi\
make better	ga\/isha\n; ga\/iji\n
mantis	la/ng
meagre	we/ibo/de; bo\
message	xu\nxi-; yi-nxi\n; xi\nxi-
minute flies	mie\
monumental literary work	ju\zhu\
muddle-headed	hu-n
nasal feeding	bi/si\fa\/
network node interface	wa\/nglu\jie/dia\/njie\mia\n
nominate	ti/mi/ng
not know what's good for one	bu\zhi-ha\/oda\/i
nuclear power	<country he/da\guo/; he/dia\n; he/ne/ngyua/n
offence	fa\nzui\
one of	<smth zhi-yi-
orchid	la/n
outstanding	bu\to/ngfa/nxia\/ng; qia/o; xia\/nmu\; xia\/nzhu\; yo-uxiu\; yo/u
pancake	ba/oka\/obi\/ng
path to follow	fa-ngxia\ng
penny-pinching	jie/jia\/n
pheasant	zhi\ji-
plain-talking	zhi/jie/lia\/oda\ng
pole	ga-n; ga-n
pottery	fo\/u; ta/oqi\
pressconference	zha-oda\ihui\
program manager	<Windows che/ngshi\qua\/nli\/yua/n
public park	go-ngyua/n
put up	gua\
raisin	pu/taoganr1
rebuff	hui/jue/
regime	zhe\ngqua/n
repast	ca-nyi\/n
restaurant	ca-ngua\/n; fa\ndia\n; fa\ngua\/n
ring around moon or sun	yu\n
row of logs or boards	pa\/i
salary	fe\ng; go-ngqia/n; xi-nshui\/; xi-n; da\iyu\
school assignment	zuo\ye\
section head	bu\zha\/ng
sentance to death	pa\nchu\/si\/xi/ng
shake hands	wo\; to shake hands: wo\bie/; wo\sho\/u
shortcoming	que-dia\/n
simple and clear	jia\/nmi/ng
sleepy	ku\n; ku\n; xia\/ngshui\
snore	da\/hu-; ha-n
sound of metal	da-ng
speculum	sui\
stability	we\/ndi\ngxi\ng
statuate	xia\n
stone tablet	jie/
stud	shi\di\ng
sum of money	kua\/nxia\ng
sway from side to side	lia\ng; qia\ng
take charge	che/ng; ba-o
tavern	ke\zha\n
tents	chua/ng
thing	yi/xia\ng; do-ngxi; wu\
tiger	hu\/; la\/ohu\/
torment	zhe/mo
transmit	bo-yi-n; bo-fa\ng; bo-so\ng; to transmit: da\/o; fa-so\ng; ji\so\ng; chua/n
trusty	ke\/xi\nre\n
unable to	bu\lia\/o
uninhibited	bu\ji-
upright	zhe\ngzhi/; chu\; ga-ngzhe\ng; zhe\ngzhi/; zhi/li\
vegetation	zhi/wu\
violet	zi\/luo/la/nse\
war chariot	zha\nche-
weighing every word	zi\zhe-nju\zhuo/
white-haired	gu\/
with a wavy motion	<brush stroke in painting qi\/fu/
worshipper	cho/ngba\izhe-
yourself	ni\/zi\ji\/
Bosnia	bo-si-ni/ya\
Ethernet	yi\/ta\iwa\/ng; yi\/ta\iwa\/nglu\; yi\/ta\iwa\/ngluo\
Korea	cha/oxia\/n; ha/nguo/; li/
Rome	luo/ma\/
abacus	sua\npa/n
accustom	shi\/xi/gua\n
adversity	ni\ji\ng; bu\xi\ng
all	do-u; jie-; qia-n; qua/n; suo\/yo\/u; to-ngto-ng; xia/n; xu-; yi/qie\; yu/nyu/n
analgesiac	zhe\nto\ng
ape man	yua/nre/n
army and government	ju-nzhe\ng
assistant	e\r; huo\/; huo\/; zhu\li\/; zhu\sho\/u; ba-ngshou; bi\zhu\; pi/
autograph	ti/mi/ng; to autograph: qia-nmi/ng
bane	du/ha\i
be apart	ju\li/; ju\
be in touch with	jie-chu\
be ungrammatical	bu\to-ng
believer	xi\ntu/
bite	ya\/o; ke\/n; to bite: shi\; ke\/n
book cover	zhi\
breach	<a dyke jue/; to breach: da\/ji\n
brush aside	bi\/ngchu/
by the time when	<something is ready, etc de\/ngda\o
capacity	du\; lia\ng; ro/nglia\ng; qia/nli\; ca/ine/ng
catch fire	shi-huo\/
channels	qu/da\o
chronic disease	jiu\
cling	nia/nzhu\
collide	pe\ngzhua\ng; to collide: cho-ng
compact disk	ji-gua-ngcha\ngpia\n; gua-ngdie/
condition	tia/ojia\n; zhua\ngkua\ng; zhi\yue-; ji\ng
contagious	chua/nra\/n
corncob	ba\ngzi\/
cream	na\/iyo/u; hu\
cunning	hua/; jia-o; jia\/o; jia\/ohua/; jia\/ozha\; kua\i; lia\/ng
darkly	he-ia\n
dedication	ti/ci/
deposit	<mineral kua\ngchua/n; chu\/ca/ng; cu/n; to deposit: cu/nfa\ng; chu\/
dictionary	ci/dia\/n; zi\dia\/n
discord	bu\tia/ohe/; bu\he/
dividend	ho/ngli\
drapery	zha\nglia/n
dye paper	hua/ng
egg yolk	da\nhua/ng
emotion	ga\/nqi/ng; qi/ng; qi/ngga\/n
entire	qua/nqiu/; qua/nbu\; to-ngto-ng; zhe\/ngge\; qua/n; <family he/
everlasting	yo\/ngjiu\/
expense	hua-fe\i; fe\iyo\ng
fail to live up to expectations	bu\zhe-ngqi\
feature article	te\xie\/
fight	bo/; da\/zha\ng; do\u; to fight: do\u; zha\n; zha\ndo\u; bo/do\u; ka\ng
first day of the month	yi-ha\o
flower garden	ti/ngyua/n
force into exile	liu/wa/ng
fragrant	fa-ng; fe-n; pe\n; xia-ng; xi-n
funeral and interment	bi\nza\ng
generous	chuo\; da\fa-ng; ho\u; ka\/i; ka-ng; yo-ngro/ngda\du\
give somebody a task	ze/che/ng
goblet	ga-ojia\/obe-i; gu-; zhi-; zhi\; zu-n
gravitational field	yi\/nli\cha\/ng
guilt	zui\
hardened mucus in nostrils	bi/niu/er
heal	fu\yua/n; yu\; yu\; cho-u; to heal: yu\he/
hide behind	ya\/nga\i
hollow space	ta/ng
howl	ha/o; ha/o; kua/ngfe\i
if indeed	go\/u
in a low voice	xia\/oshe-ng
inactive	chi/du\n
infantile	zhi\
inspector	jia\/ncha/yua/n
intransitive verb	bu\ji/wu\do\ngci/
it's no wonder	<that na/ngua\i
keep a full stand of seedlings	ba\/omia/o
laborious	lu\; xi-nla/o
later period	ho\uqi-
leg wrappings	ba\/ngtui\/
light in colour	da\n
local area network	qu-yu\la\/nglu\; qu-yu\wa\/ngluo\
loss	<financial, etc. su\/nshi-; ba\i
magneto-optical	gua-ngci/
make more youthful	nia/nqi-nghua\
march at ease	bia\nbu\zo\/u
meddle	ga-nyu\
miasma	fe-n
mist	bo/wu\; la/n; xie\
more than	yi\/sha\ng; bu\zhi\/
multiple	be\ishu\
natural	tia-nra/n
new word	she-ngci/
noose	hua/n
not pay attention to	bu\zhu\yi\
numeral	ma\/zi\; shu\ci/
official salary	lu\
one's own profession	be\/nha/ng
organizational structure	jia\nzhi\
overflowing	mi/; a\ngra/n
parade one's wealth	ba\/ikuo\
paws of animal	fa/n
perfection	wa/nme\/i
physical training	ti\/yu\
plants sprouting	che\
political organization	zhe\ngzhi\ji-go\u
practical	luo\shi/
previous years	xi-nia/n
prong	cha-
pug	ha\/
quarter	<hour ke\
rapid development	da\li\fa-zha\/n
recite	be\iso\ng; fe\/ng
rein	xie\
report a success	ba\ojie/
retire for the night	a-nxie-
risk one's life	she\/mi\ng
ruined	po\ba\i; bi\
sanctity	zu-nya/n
scope	gui-mo/; ya\/njie\
seed collecting	ca\/izho\/ng
serious	zhe\ngzho\ng; a\nra/n; re\nzhe-n; ya/nzho\ng; zho\ng; <illness du\/
sharply divided	bi\le\/ise-nya/n
show off with literary expressions	zhua\/i
sing ballads	o-u
slogan	bia-oyu\/; ko\/uha\o
social upheaval	bia\nlua\n
south side	na/nmia\n
